VideoId,keyWords,type,length,heat,rating
761,"5,37,8,47,1,61,6",6.0,13,143.53,4.63
2338,"5,64,65,51,48,73,6",6.0,11,123.19,4.625
820,"5,64,65,51,48,73,6",6.0,11,126.14,4.58
1930,"19,8,62,6,9",6.0,3,121.07,4.575
3519,"5,64,65,51,48,73,6",6.0,3,119.6,4.555
2516,"23,62,6",1.0,1,122.08,4.525
2035,"5,64,65,51,48,73,6",6.0,41,134.52,4.52
2477,"5,8,33,61,73,10",6.0,6,140.11,4.49
3846,"23,72,30,62,6",6.0,5,136.76,4.46
1725,"7,47,65,24,22,41,21",6.0,3,118.9,4.44
1123,"5,37,64,8,73,80",6.0,6,138.4,4.41
2481,"5,64,51,73,22,10,21",6.0,3,139.73,4.41
2627,"19,24,30,62,73,21",1.0,1,130.99,4.405
733,"7,47,65,24,22,41,21",6.0,6,133.32,4.39
2892,"5,37,64,33,73",6.0,6,139.93,4.39
3230,"5,47,21,46",6.0,3,134.66,4.365
3407,"5,24,21,17",1.0,1,110.58,4.365
658,"23,11,24,79,78,22,46",6.0,15,131.31,4.36
1385,"19,51",4.0,1,103.17,4.345
3131,"19,8,62,6,9",6.0,6,132.76,4.34
39,"5,8,24,30,21,46",1.0,1,122.9,4.34
1749,"52,78,22,21",6.0,3,136.4,4.325
98,"23,47,59,41,21",6.0,3,123.18,4.32
3713,"23,41,21",6.0,3,137.89,4.31
1031,"77,46",1.0,1,128.66,4.305
1939,"23,30,59,21",1.0,1,128.93,4.305
191,"3,62,6",6.0,5,134.91,4.305
390,"5,8,11,78,73,22",6.0,5,136.99,4.295
1852,"23,65,63",6.0,3,118.24,4.295
2845,"19,8,30,9",6.0,6,108.68,4.29
694,"5,24,30,21,46",1.0,1,121.33,4.285
1274,"5,65,61,22",6.0,8,109.59,4.285
696,"25,41",6.0,3,128.79,4.28
194,"7,47,65,24,22,41,21",5.0,1,110.48,4.27
3382,"5,8,47,6,10",6.0,6,144.8,4.27
1842,"23,11,24,73,21",6.0,6,132.91,4.265
3069,"5,8,61,73,80",4.0,6,113.23,4.265
2015,"5,37,6,21,17",6.0,6,128.54,4.255
560,"19,62,41",6.0,6,131.59,4.26
2091,"5,79,78,73",6.0,5,138.87,4.25
366,"19,41",6.0,3,130.35,4.25
1446,"19,62,6,9",6.0,11,111.79,4.25
1830,"5,37,47,1,6",6.0,6,131.2,4.25
2947,"5,37,64,65,48,6",6.0,6,136.08,4.25
3169,"5,37,65,57,30",6.0,3,129.44,4.245
2507,"5,37,6,10",6.0,13,127.13,4.24
3931,"7,64,21",1.0,1,132.27,4.24
1216,"7,64,66,47,70,21",6.0,3,140.63,4.235
3256,"5,37,41",6.0,3,122.09,4.23
3181,"5,47,59,21",4.0,1,120.98,4.225
3796,"5,37,64,65,30,48",6.0,19,130.02,4.215
2382,"5,37,64,8,47,6",1.0,1,120.09,4.21
1431,"5,37,6,10",4.0,3,115.67,4.205
1956,"19,15,47,65,24,6,21",4.0,1,117.63,4.205
645,"19,8,6,9",6.0,6,109.4,4.205
776,"20,22,9",6.0,6,119.85,4.205
226,"19,8,72,6,41",6.0,6,125.93,4.2
140,"5,37,15,8,47,11,61,30,22,21",6.0,6,130.37,4.2
1454,"5,8,33,61,73,80",4.0,2,112.71,4.2
876,"19,8,30,62,41",6.0,5,135.81,4.2
2130,"5,37,64,8,47,6",1.0,1,118.92,4.195
2859,"19,12,30,62,59",6.0,6,136.91,4.195
2061,"5,24,79,6",1.0,1,105.81,4.19
240,"5,24,21",6.0,5,139.8,4.19
3252,"5,37,64,15,47,1,30,6,21",6.0,6,121.7,4.185
569,"19,8,9",4.0,1,99.79,4.18
2935,"5,37,57,6,10,21",4.0,3,108.26,4.18
2605,"19,62,6",6.0,16,121.9,4.18
2546,"19,62,6,41",6.0,3,131.78,4.175
1955,"28,41,21",1.0,1,116.4,4.175
3708,"19,8,6,9",6.0,6,108.44,4.175
1989,"23,24,78",1.0,1,115.25,4.175
3178,"5,37,8,47,65,30",1.0,1,116.17,4.17
1607,"23,70,63,41,9",6.0,6,126.63,4.16
2287,"5,24,79,6",1.0,1,92.67,4.16
595,"5,47,1,6,21",5.0,1,122.44,4.16
1179,"23,30,62",1.0,1,116.37,4.16
3556,"23,47,30",6.0,6,130.3,4.16
1254,"5,16,8,33,78,73",6.0,6,137.85,4.16
3367,"5,64,65,51,48,73,6",5.0,1,101.17,4.155
3742,"23,1,78,46",1.0,1,120.47,4.155
537,"19,30,62",4.0,1,110.82,4.155
116,"5,22",6.0,3,129.24,4.15
2723,"19,12,30,6,21",6.0,3,125.52,4.15
67,"19,73",1.0,1,130.23,4.15
774,"5,24,79,6",1.0,1,105.22,4.145
3172,"74,78,22,46",6.0,6,115.63,4.145
567,"67,22,9",6.0,1,104.75,4.145
2276,"7,24,30,73",6.0,3,115.88,4.145
3675,"5,37,64,8,47,6,10",5.0,1,103.35,4.145
2565,"19,6,9",4.0,1,112.34,4.14
1087,"19,8,30,59",6.0,6,124.93,4.14
1162,"19,63,72,30,41",6.0,3,118.17,4.135
2755,"5,37,64,8,47,6,10",5.0,1,107.13,4.135
3248,23,1.0,1,113.46,4.135
2474,"77,41",3.0,2,121.7,4.13
2391,"20,46",6.0,3,134.72,4.13
3606,"5,24,73,10",6.0,6,137.35,4.125
805,"7,64,24,79,6",1.0,1,107.43,4.125
3112,"19,62,6,9",6.0,16,119.63,4.125
3546,"5,37,8,6,21",6.0,5,123.71,4.125
2936,"19,62,22,41",6.0,3,117.15,4.13
2538,"5,64,57,62,6",6.0,11,124.48,4.125
3624,"19,30,62",6.0,3,133.06,4.12
3495,"5,55,8,22,9",6.0,5,112.59,4.12
231,"5,65,61,22",6.0,8,115.37,4.12
1794,"5,37,47,1,6",6.0,6,133.92,4.12
3022,"26,62,41",6.0,3,129.18,4.12
3793,"5,37,57,6,10,21",4.0,3,112.27,4.12
729,"7,64,24,79,6",1.0,1,106.43,4.115
3063,"23,65,24,30",6.0,5,130.63,4.115
955,"19,8,6,9",5.0,1,104.99,4.115
1883,"19,30,59",6.0,5,130.76,4.115
3962,"19,47,1,30",6.0,8,118.52,4.115
1513,"5,37,8,47,1,24,30,6,21",4.0,1,112.29,4.115
2747,"7,64,24,79,6",1.0,1,105.81,4.105
962,"5,64,62",6.0,3,127.43,4.105
2826,"26,62,6,9",6.0,6,111.15,4.1
2598,"5,37,64,6",6.0,21,134.46,4.1
1056,"5,61,73,80",4.0,5,96.08,4.1
956,"5,64,65,51,48,73,6",5.0,1,100.99,4.1
1615,"19,8,30,34",1.0,1,106.39,4.1
3464,"23,41,21",1.0,1,121.28,4.095
907,"7,8,33,30,73",6.0,11,130.96,4.095
943,"5,33,24,79,78,73,22",5.0,1,105.63,4.095
2870,"19,62,41",4.0,1,92.2,4.095
3052,"19,8,30,62,41,21",5.0,1,122.5,4.095
693,23,6.0,3,123.82,4.095
1686,"7,64,8,47,1,30,62,59",6.0,15,128.03,4.09
147,"45,62,41",1.0,1,111.67,4.09
3504,"19,8,30,34",4.0,1,110.85,4.09
887,"5,24,79,6",1.0,1,99.68,4.085
3044,"5,47,10",4.0,1,119.07,4.085
3284,"52,62,41",6.0,5,135.58,4.085
1332,"26,62,59,41",6.0,3,127.48,4.085
1697,"5,37,6,21",6.0,3,139.0,4.085
259,"7,64,24,79,6",1.0,1,107.44,4.08
3444,"19,8,41,21",6.0,6,92.82,4.08
2544,"5,37,11,61,73,21",1.0,1,129.87,4.075
1330,"5,22",4.0,2,122.61,4.075
2496,"28,11,24,78,73,46",1.0,1,126.94,4.075
871,"5,37,8,6",6.0,5,98.22,4.07
2273,"5,37,47,70,1,6",6.0,6,136.0,4.07
24,"19,30,34",1.0,1,100.75,4.07
1205,"28,73,6,41",4.0,1,105.23,4.065
200,"7,64,24,79,6",1.0,1,103.3,4.065
2646,"5,37,64,8",1.0,1,105.41,4.065
3024,"5,64,65,33,51,48,73,6",5.0,1,108.93,4.065
247,"7,64,30,6",6.0,5,90.49,4.065
2096,"19,15,47,30,59,21",6.0,3,128.51,4.065
1218,"7,8,78,73,21",4.0,1,111.55,4.065
371,"5,73,22",1.0,1,99.85,4.06
2939,"5,64,24,6",6.0,13,95.55,4.06
1050,"5,33,73",5.0,1,102.96,4.06
2987,"7,30,73,6,80",6.0,11,90.99,4.06
1326,"19,8,30,62",6.0,3,135.05,4.06
1942,"19,24,21",6.0,2,124.13,4.055
386,"19,8,30,62,6,41",6.0,3,113.31,4.055
3605,"19,9",6.0,6,114.44,4.055
3447,"19,8,41",1.0,1,85.64,4.05
2825,"19,30",3.0,2,101.12,4.055
2576,"19,8,24,78,21",6.0,5,126.11,4.055
2880,"23,30,41",1.0,1,134.13,4.05
3055,"23,61,73,80",4.0,6,94.91,4.05
3947,"32,48,22",6.0,8,98.3,4.05
269,"5,64,8,1,10",6.0,3,112.61,4.05
229,"19,62,41",6.0,3,121.93,4.05
2079,"5,24,73,10",5.0,1,125.03,4.045
1252,"23,65,30,73,34",4.0,1,107.68,4.045
3270,"5,64,66,47,12,33,62",4.0,3,118.35,4.045
2791,"19,8,78,22",6.0,3,112.57,4.045
1600,"5,33,61,72,30,73,80",1.0,1,104.5,4.045
2540,"7,64,47,6",5.0,1,109.34,4.045
220,"5,64,6,9",4.0,3,107.32,4.045
745,"19,8,24,78",6.0,5,126.51,4.04
1796,"23,47,24,78,41",6.0,3,123.77,4.035
2173,"19,62,6,9",5.0,1,112.63,4.035
1782,"5,24,78,6,21,46",6.0,6,141.55,4.035
354,"5,8,61,73,80",6.0,5,111.35,4.035
